2019.09.30,16:03,1.0905,1.0908,1.0905,1.0906,24,2019.09.30,16:21,0.8850,0.8852,0.8850,0.8852,5
2019.09.30,16:04,1.0907,1.0907,1.0906,1.0906,2,2019.09.30,16:22,0.8853,0.8853,0.8852,0.8852,6
2019.09.30,16:05,1.0905,1.0905,1.0905,1.0905,1,2019.09.30,16:23,0.8853,0.8856,0.8853,0.8854,12
2019.09.30,16:06,1.0906,1.0906,1.0904,1.0906,9,2019.09.30,16:24,0.8853,0.8855,0.8853,0.8855,13
2019.09.30,16:08,1.0907,1.0909,1.0907,1.0909,5,2019.09.30,16:25,0.8854,0.8854,0.8853,0.8853,10
2019.09.30,16:09,1.0908,1.0908,1.0907,1.0908,9,2019.09.30,16:26,0.8852,0.8853,0.8852,0.8852,3
2019.09.30,16:10,1.0907,1.0907,1.0907,1.0907,1,2019.09.30,16:27,0.8851,0.8853,0.8851,0.8853,9
2020.09.30,16:11,1.0908,1.0908,1.0907,1.0908,11,2020.09.30,16:28,0.8854,0.8854,0.8852,0.8852,9
2020.09.30,16:12,1.0907,1.0908,1.0907,1.0908,2,2020.09.30,16:29,0.8851,0.8852,0.8850,0.8851,15
2020.09.30,16:13,1.0907,1.0907,1.0906,1.0906,2,2020.09.30,16:30,0.8852,0.8852,0.8852,0.8852,1
2020.09.30,16:14,1.0907,1.0907,1.0906,1.0906,6,2020.09.30,16:31,0.8851,0.8852,0.8849,0.8852,8
2021.09.30,16:15,1.0907,1.0907,1.0906,1.0906,2,2021.09.30,16:32,0.8853,0.8853,0.8851,0.8852,10
2021.09.30,16:16,1.0907,1.0907,1.0906,1.0907,3,2021.09.30,16:33,0.8851,0.8852,0.8851,0.8852,14
2021.09.30,16:17,1.0906,1.0907,1.0906,1.0907,2,2021.09.30,16:34,0.8851,0.8852,0.8851,0.8852,4
2021.09.30,16:18,1.0908,1.0908,1.0907,1.0907,2,2021.09.30,16:35,0.8853,0.8853,0.8850,0.8850,8
2022.09.30,16:19,1.0906,1.0907,1.0906,1.0906,3,2022.09.30,16:36,0.8851,0.8855,0.8850,0.8855,11
2022.09.30,16:20,1.0907,1.0908,1.0906,1.0907,7,2022.09.30,16:37,0.8854,0.8855,0.8853,0.8853,12
2022.09.30,16:21,1.0908,1.0908,1.0907,1.0908,3,2019.09.30,16:38,0.8854,0.8855,0.8853,0.8854,9
